run_time,graph_key,graph_type,task_type,method,ground_truth,predicted,path_accuracy,edit_distance,gt_reward,pred_reward,reward_diff,attention_ratio,rsa_corr,rsa_p,heatmap_file,rsm_file,notes
2025-12-01 04:43:02,n7line_valuePath,n7line,valuePath,scratchpad,Room 1 -> Room 2 -> Room 3 -> Room 4 -> Room 5 -> Room 6 -> Room 7,"FINAL_JSON: {""path"": [""Room 1"" -> ""Room 2""",0,7,50,0,50,0.13524594125018574,0.19938947365681517,0.38620703555902036,evaluation_results/google_gemma-2-2b-it/20251201_043914/n7line_valuePath_heatmap.png,evaluation_results/google_gemma-2-2b-it/20251201_043914/n7line_valuePath_rsm.png,
2025-12-01 04:46:36,n7line_valuePath,n7line,valuePath,hybrid,Room 1 -> Room 2 -> Room 3 -> Room 4 -> Room 5 -> Room 6 -> Room 7,Room 1 -> Room 2 -> Room 3 -> Room 4 -> Room 5 -> Room 6 -> Room 7,1,0,50,50,0,,,,,,
2025-12-01 04:50:17,n7line_rewardReval,n7line,rewardReval,scratchpad,Room 1 -> Room 2 -> Room 3 -> Room 4 -> Room 5,Current room: Room,0,5,60,0,60,0.11196645511358364,0.3775107367902368,0.09157817759880467,evaluation_results/google_gemma-2-2b-it/20251201_043914/n7line_rewardReval_heatmap.png,evaluation_results/google_gemma-2-2b-it/20251201_043914/n7line_rewardReval_rsm.png,
2025-12-01 04:53:53,n7line_rewardReval,n7line,rewardReval,hybrid,Room 1 -> Room 2 -> Room 3 -> Room 4 -> Room 5,Room 1 -> Room 2 -> Room 3 -> Room 4 -> Room 5 -> Room 6 -> Room 7,0,2,60,50,10,,,,,,
2025-12-01 04:57:36,n7tree_valuePath,n7tree,valuePath,scratchpad,Room 1 -> Room 3 -> Room 7,"FINAL_JSON: {""path"": [""Room 1"" -> ""Room 2""",0,3,50,0,50,0.13698023053886954,-0.43074910459352334,0.05125262274250125,evaluation_results/google_gemma-2-2b-it/20251201_043914/n7tree_valuePath_heatmap.png,evaluation_results/google_gemma-2-2b-it/20251201_043914/n7tree_valuePath_rsm.png,
2025-12-01 05:00:33,n7tree_valuePath,n7tree,valuePath,hybrid,Room 1 -> Room 3 -> Room 7,Room 1 -> Room 3 -> Room 7,1,0,50,50,0,,,,,,
2025-12-01 05:04:13,n7tree_rewardReval,n7tree,rewardReval,scratchpad,Room 1 -> Room 2 -> Room 4,Current room: Room 2 -> Choices: Room 4 -> Room,0,3,60,0,60,0.11445186677418355,-0.49883307887199885,0.021341078216722556,evaluation_results/google_gemma-2-2b-it/20251201_043914/n7tree_rewardReval_heatmap.png,evaluation_results/google_gemma-2-2b-it/20251201_043914/n7tree_rewardReval_rsm.png,
2025-12-01 05:07:44,n7tree_rewardReval,n7tree,rewardReval,hybrid,Room 1 -> Room 2 -> Room 4,Room 1 -> Room 2 -> Room 4,1,0,60,60,0,,,,,,
2025-12-01 05:11:35,n15clustered_valuePath,n15clustered,valuePath,scratchpad,Room 1 -> Room 5 -> Room 6 -> Room 10 -> Room 11 -> Room 15,Finds the shortest path from Room 1 to the room with the highest reward.,0,6,75,0,75,0.10739548568639008,0.6073858649013174,6.436092395181987e-12,evaluation_results/google_gemma-2-2b-it/20251201_043914/n15clustered_valuePath_heatmap.png,evaluation_results/google_gemma-2-2b-it/20251201_043914/n15clustered_valuePath_rsm.png,
2025-12-01 05:15:06,n15clustered_valuePath,n15clustered,valuePath,hybrid,Room 1 -> Room 5 -> Room 6 -> Room 10 -> Room 11 -> Room 15,Room 1 -> Room 5 -> Room 6 -> Room 10 -> Room 11 -> Room 15,1,0,75,75,0,,,,,,
2025-12-01 05:18:55,n15clustered_rewardReval,n15clustered,rewardReval,scratchpad,Room 1 -> Room 4,Current room: Room 1 -> Choices: Room 2 -> Room 3 -> Room 4 -> Room 5,0,4,85,0,85,0.08551300204510447,0.5622807843145666,4.326599808762061e-10,evaluation_results/google_gemma-2-2b-it/20251201_043914/n15clustered_rewardReval_heatmap.png,evaluation_results/google_gemma-2-2b-it/20251201_043914/n15clustered_rewardReval_rsm.png,
2025-12-01 05:20:42,n15clustered_rewardReval,n15clustered,rewardReval,hybrid,Room 1 -> Room 4,Room 1 -> Room 3,0,1,85,0,85,,,,,,
